---- Scoring Predictions ----
Model: regular-mix-3epochs-bart

Test Set: mix

'Exact Score'
0.329623944742901

'BLEU Score'
0.2398584788607752

'Google BLEU Score'
0.2676963888413486

'ROUGE1 Score'
0.5503184816989195

'ROUGE2 Score'
0.31993416062094554

'ROUGEL Score'
0.49952200929448043

'METEOR Score'
0.5199564548069057


	Unnamed: 0	prefix	input_text	target_text	input_emo	target_emo	predictions	prediction_emo
0	0	13 to 12	The layout of Belmont is similar to that of Twin Pines park and other parks in Davey Glen Park.	The Belmont layout is similar to that of Twin Pines Park and other parks in Davey Glen Park.	realization	approval	 to 12: The layout of Belmont is similar to that of Twin Pines park and other parks in Davey Glen Park.	neutral
1	1	9 to 12	He graduated from Phi Beta Kappa magna cum laude and was elected to Harvard Law School.	He graduated from the Harvard Law School Magna cum Laude and was elected in Phi Beta Kappa.	admiration	approval	 to 12: He graduated from Phi Beta Kappa magna cum laude and was elected to Harvard Law School.	neutral
2	2	13 to 17	Realizing what Arthur wants, a panicked Adam tries to escape but is forced to touch Arthur's hand.	A panicked Adam recognizes what Arthur wants and tries to escape, but is forced to touch Arthur's hand.	realization	fear	 to 17: Realizing what Arthur wants, a panicked Adam tries to escape but is forced to touch Arthur's hand.	realization
3	3	12 to 13	This electrification has been expanded since 1983 further north to Waikanae and in 2011 to Paraparaumu again.	This electrification has been extended further north to Paraparaumu since 1983 and back to Waikanae in 2011.	approval	realization	 to 13: This electrification has been extended since 1983 further north to Waikanae and in 2011 to Paraparaumu again.	neutral
4	4	13 to 12	The layout of Davey Glen Park is similar to the Twin Pines Park and other parks in Belmont.	The Belmont layout is similar to that of Twin Pines Park and other parks in Davey Glen Park.	realization	approval	 to 12: The layout of Davey Glen Park is similar to the Twin Pines Park and other parks in Belmont.	realization
5	5	17 to 13	A panicked Arthur recognizes what Adam wants and tries to escape, but is forced to touch Arthur's hand.	Realizing what Adam wants, a panicked Arthur tries to escape, but is forced to touch Arthur's hand.	fear	realization	 to 13: A panicked Arthur recognizes what Adam wants and tries to escape, but is forced to touch Arthur's hand.	fear
6	6	12 to 13	The music was composed by Ilaiyaraaja and the lyrics by Vaali were written.	The music was composed by Vaali and the lyrics by Ilaiyaraaja were written.	approval	realization	 music was composed by Ilaiyaraaja and the lyrics by Vaali were written.	approval
7	7	13 to 19	In the 1999 NatWest Trophy, the Kent Cricket Board was represented against the Worcestershire Cricket Board in a single List A game.	Barfoot represented the Worcestershire Cricket Board in a single List A match against the Kent Cricket Board in the 1999 NatWest Trophy.	realization	remorse	 the 1999 NatWest Trophy, the Kent Cricket Board was played against the Worcestershire Cricket Board in a single List A game.	
8	8	13 to 19	In the 1999 NatWest Trophy, the Kent Cricket Board was represented against the Worcestershire Cricket Board in a single List A game.	Barfoot represented the Kent Cricket Board in a single List A match against the Worcestershire Cricket Board in the 1999 NatWest Trophy.	realization	remorse	 the 1999 NatWest Trophy, the Kent Cricket Board was played against the Worcestershire Cricket Board in a single List A game.	
9	9	13 to 12	The layout of Davey Glen Park is similar to that of Twin Pines and other parks in Belmont.	The Belmont layout is similar to that of Twin Pines Park and other parks in Davey Glen Park.	realization	approval	 to 12: The layout of Davey Glen Park is similar to that of Twin Pines and other parks in Belmont.	neutral
